date,headline,neg,neu,pos,sentiment_score,day_of_week,week
2023-09-28,"New space age titanium iPhone 15s are overheating, customers complain",0.217,0.783,0.0,-0.3612,Thursday,40
2023-09-28,Microsoft Considered Investing Billions in Apple Deal to Compete With Google Search,0.0,1.0,0.0,0.0,Thursday,40
2023-09-28,Apple stock: What the charts show about its returns in October,0.0,1.0,0.0,0.0,Thursday,40
2023-09-28,Microsoft executive says Google deals kept Bing small,0.0,1.0,0.0,0.0,Thursday,40
2023-09-28,The AI rush for the iPhone moment,0.0,1.0,0.0,0.0,Thursday,40
2023-09-28,Alphabet (GOOGL) Boosts Chromebook Features With ChromeOS 117,0.0,0.753,0.247,0.3182,Thursday,40
2023-09-28,iPhone customers claim they have a serious issue with the iPhone 15,0.115,0.885,0.0,-0.0772,Thursday,40
2023-09-28,Thousands of Apple customers complain latest iPhone models are overheating,0.217,0.783,0.0,-0.3612,Thursday,40
2023-09-28,15 Best U.S. Stocks to Buy Now Under $10,0.0,0.656,0.344,0.6369,Thursday,40
2023-09-28,Block (SQ) Boosts Reach to Canada With Tap to Pay on Android,0.274,0.51,0.217,-0.2263,Thursday,40
2023-09-28,Apple Stock Is Set for the Worst Month of the Year. This iPhone Problem Isnt Helping.,0.401,0.599,0.0,-0.8266,Thursday,40
2023-09-28,40 Best Selling Items on eBay in 2023,0.0,0.625,0.375,0.6369,Thursday,40
2023-09-28,Apple asks US Supreme Court to strike down Epic Games order,0.106,0.638,0.255,0.4767,Thursday,40
2023-09-28,3 Dividend Stocks to Buy and Hold Until Retirement,0.0,1.0,0.0,0.0,Thursday,40
2023-09-28,Apples Set for the Worst Month of the Year. This iPhone Problem Isnt Helping.,0.441,0.559,0.0,-0.8266,Thursday,40
2023-09-28,"Got $1,000? 5 Buffett Stocks to Buy and Hold Forever",0.0,1.0,0.0,0.0,Thursday,40
2023-09-28,Is Apple Stock a Buy Now?,0.0,1.0,0.0,0.0,Thursday,40
2023-09-28,"Column: The FTC is right about Amazon's monopolistic practices, but struggles with what to do about them",0.169,0.831,0.0,-0.5023,Thursday,40
2023-09-28,Microsoft exec remains tight-lipped about making in-house AI chips,0.0,1.0,0.0,0.0,Thursday,40
2023-09-28,How Apple could be affected by Amazon's antitrust ruling,0.167,0.833,0.0,-0.1531,Thursday,40
2023-09-28,Secrecy of Google Antitrust Trial Leads to Blame Game,0.231,0.769,0.0,-0.34,Thursday,40
2023-09-28,Apple missing from China's list of 26 registered app stores after requirement to submit information to government,0.121,0.879,0.0,-0.296,Thursday,40
2023-09-28,"Wall Street's ""Magnificent Seven"" May Be a Mammoth Liability for the Stock Market",0.115,0.637,0.248,0.4767,Thursday,40
2023-09-28,British iPhone designer Sir Jony Ive explores plan for AI gadget,0.0,1.0,0.0,0.0,Thursday,40
2023-09-28,"OpenAI, Jony Ive in talks to raise $1 bln from SoftBank for AI device venture - FT",0.0,1.0,0.0,0.0,Thursday,40
2023-09-28,OpenAI and Jony Ive in talks to raise $1bn from SoftBank for AI device venture,0.0,1.0,0.0,0.0,Thursday,40
2023-09-28,Apples iPhone Cedes Ground to Googles Pixel in Japan,0.0,1.0,0.0,0.0,Thursday,40
2023-09-27,Epic asks the Supreme Court to weigh in on its beef with Apple,0.0,0.769,0.231,0.5574,Wednesday,40
2023-09-27,iPhone 15 Pro Owners Complain About Overheating Problems,0.464,0.536,0.0,-0.6369,Wednesday,40
2023-09-27,Apple iPhone 15 Pro Users Complain That Device Can Get Too Hot,0.185,0.815,0.0,-0.3612,Wednesday,40
