date,time,headline,datetime,neg,neu,pos,sentiment_score
2023-08-14,02:27PM,J&J Investors Need to Decide Soon if They Want Kenvue Stock,2023-08-14 14:27:00,0.0,0.885,0.115,0.0772
2023-08-14,01:11PM,GE Vernova Acquires Greenbird to Accelerate GridOS® Innovation and Help Utilities Reduce the Complexity of Energy Data Integration,2023-08-14 13:11:00,0.0,0.67,0.33,0.7506
2023-08-13,04:24PM,10 Jim Cramer Stock Picks this Week,2023-08-13 16:24:00,0.0,1.0,0.0,0.0
2023-08-13,09:00AM,Investors in General Electric (NYSE:GE) have seen impressive returns of 179% over the past three years,2023-08-13 09:00:00,0.0,0.82,0.18,0.5106
2023-08-11,11:22AM,GE 'One Of The Best' Defensive Stocks Due To GE Aerospace  Is It A Buy?,2023-08-11 11:22:00,0.0,0.694,0.306,0.6486
2023-08-11,05:00AM,"Zacks Market Edge Highlights: AMZN, GE, MAR, OFG and TREX",2023-08-11 05:00:00,0.0,1.0,0.0,0.0
2023-08-10,12:51PM,"Want to Make $1,000 in 2 Weeks? Buy 99 Shares of J&J Stock.",2023-08-10 12:51:00,0.0,0.741,0.259,0.3612
2023-08-10,11:47AM,5 Red Hot Stocks to Buy Now,2023-08-10 11:47:00,0.0,1.0,0.0,0.0
2023-08-09,08:52AM,20 Biggest Internet of Things Companies in the World,2023-08-09 08:52:00,0.0,1.0,0.0,0.0
2023-08-08,05:49PM,Analyst Report: General Electric Company,2023-08-08 17:49:00,0.0,1.0,0.0,0.0
2023-08-07,04:02PM,UPDATE 2-UK raises national security concerns over EDF deal to buy GE unit,2023-08-07 16:02:00,0.0,0.833,0.167,0.34
2023-08-07,02:46PM,UK raises national security concerns from EDF/GE deal,2023-08-07 14:46:00,0.0,0.745,0.255,0.34
2023-08-07,08:17AM,Weekly Stock List,2023-08-07 08:17:00,0.0,1.0,0.0,0.0
2023-08-06,04:18PM,7 Top Stocks Billionaires Are Loading Up On,2023-08-06 16:18:00,0.0,0.769,0.231,0.2023
2023-08-06,09:20AM,"Up More Than 90% in a Year, Is GE Still a Value Stock?",2023-08-06 09:20:00,0.0,0.806,0.194,0.34
2023-08-05,09:00AM,"At US$113, Is General Electric Company (NYSE:GE) Worth Looking At Closely?",2023-08-05 09:00:00,0.0,0.84,0.16,0.2263
2023-08-04,03:58PM,Is GE Stock A Buy After Its Flight To Highs? All Eyes On GE Aerospace.,2023-08-04 15:58:00,0.0,1.0,0.0,0.0
2023-08-04,07:46AM,3 Momentum Anomaly Stocks to Buy Amid Fitch-Induced Selloff,2023-08-04 07:46:00,0.0,1.0,0.0,0.0
2023-08-04,06:58AM,Logistics firm XPO beats profit estimates aided by cost cuts,2023-08-04 06:58:00,0.168,0.611,0.221,0.1779
2023-08-03,11:38AM,Markel (MKL) Q2 Earnings Top Estimates on Higher Premiums,2023-08-03 11:38:00,0.0,0.816,0.184,0.2023
2023-08-02,07:45AM,2 Healthcare AI Stocks That Could Go Parabolic,2023-08-02 07:45:00,0.0,1.0,0.0,0.0
